#
# Heading: Character clozes from the Lancaster Corpus of Mandarin Chinese
# Source: ../data/simplified/Freq_per_Million.U8
#
# For each character, print the top 4 cloze deletions in order of decreasing frequency
#
#term	cloze
怀	__疑, __里, __孕, 关__
猖	__狂, __獗
咐	吩__, 嘱__, 托__
瞒	隐__, 欺上__下, __天过海, 欺__
匕	__首
渗	__透, __出, __入, __漏
殚	__精竭虑
朝	南__鲜, __鲜, __燕, 清__
蚜	__虫
舟	江__帮, 冬__, 泛__, 扁__
蔚	__兰, 文__, __蓝, __蓝色
骤	步__, __然, __变, __增
储	__蓄, __量, __存, 存__
京	北__, 南__, 东__, 北__市
祠	神__, 古__, 柳侯__, 蒙公__
撰	__写, __友, 杜__, __文
耳	__朵, __边, __环, 悦__
茵	绿__, 莱__河
肮	__脏
帷	__幔, __幕, 运筹__幄
夹	皮__克, __克, __杂, __克衫
吻	口__, 亲__, 接__, __合
嚼	咀__, 味同__蜡
饴	__糖
流	交__, 电__, __行, __动
桃	梅__, 黑__, __花, 核__
濂	希__
荧	__屏, __光灯
屋	__里, __子, 房__, 进__
菊	__花, 翠__, 秋__, 金__
诫	告__, 训__, 谆谆告__
绌	相形见__
镑	英__
铐	手__
道	知__, 报__, __路, 说__
单	__位, 简__, __独, 名__
棘	__手, 荆__, 披荆斩__
葛	诸__, 瓜__, 纠__, __洲坝
诚	__子, 真__, __实, __恳
糠	筛__, 米__
碧	__绿, __蓝, __波, 雪__
畜	牲__, __牧业, 家__, __生
嗦	哆__, 哆哆____, 唏唏____, 啰__
酩	__酊大醉
部	__门, 干__, 全__, __分
豫	犹__, 毫不犹__, __西, 犹__不决
只	__有, __是, __要, __能
潭	鹰__, 湘__, 红__, 蒲__镇
们	我__, 他__, 人__, 你__
恳	诚__, __切, __求, 勤勤____
拴	__元
她	__们, __家
呻	__吟
寺	__院, __庙, 玉佛__, 法禧__
睽	众目____
盼	__望, 企__, 期__, 切__
剿	围__, __共
苔	青__, __勒
沁	科尔__, 乌珠穆__, __人心脾, __入
瘁	心力交__, 身心交__
覃	泽__
洪	__水, __流, __祥, 防__
肉	肌__, __体, 肥__, 猪__
愈	治__, __来__, __演__烈, 痊__
戊	__辰, __嫆, __戌
宏	__观, __伟, __声, __图
锐	尖__, 敏__, __利, 精__
撂	__下
辗	__转
怅	惆__, __然, __然若失, __惘
斛	__筹交错, 罗__
蜜	甜__, __月, 甜____, 甜言__语
饽	香____
素	因__, __质, 维生__, 要__
鸢	纸__
窥	__视, 偷__, __见, __探
瞧	__见, __不起
否	是__, __则, 能__, __定
爪	脚__, 一鳞半__, __牙
亭	____玉立, 进__, 陶然__, 凤__
眨	__眼, __巴, ____眼, __眼间
讯	审__, 通__, 闻__, 通__员
膳	__食, 午__, 早__, 药__
抵	__抗, __制, __御, __达
茴	小__香
德	__国, 道__, 西__, 玉__
夸	__张, __大, __奖, __克
喻	比__, 不言而__, 家__户晓, __为
眼	__睛, 一__, __前, __里
县	__级, __城, 全__, __委
倾	__向, __听, __斜, __诉
捣	__乱, 鼓__, __碎, __蛋
摆	__脱, __设, 下__, ____手
慈	__祥, __善, __爱, __姑
绍	介__, 介__信, __兴, 介__所
档	__案, 高__, __案馆, __次
哑	__铃, 嘶__, __口无言, __叭
意	注__, __义, __见, __识
俗	世__, __话说, 通__, 习__
裙	__子, 衣__, 连衣__, 长__
曝	__光, __晒, ____光
杜	__绝, __撰, __甫, __鹃
峡	三__, 海__, __谷, __山
姣	__好, __美
童	儿__, __年, 少年儿__, __子
孤	__独, __立, __寂, __儿
韧	柔__性, 坚__, 坚__不拔, __性
烩	大杂__
全	__国, 完__, __部, __面
淫	__秽, 手__, 奸__, 卖__
剪	__刀, 修__, __贴, 裁__
转	__移, __换, __化, __变
误	错__, __区, __差, __解
数	__据, __量, 少__民族, 大多__
至	甚__, __今, __少, __于
祸	车__, 大__, 战__, 灾__
闻	新__, __讯, 新__界, 新__记者
空	__间, 天__, __气, 悟__
国	中__, __家, 我__, 全__
逼	__近, __迫, 咄咄__人, __真
灾	__难, __变论, __害, __民
谁	__知, __家, __料
揪	__心, __斗
祭	__祀, __坛, __酒, __礼
把	__握, __手, 有__握, __头
龌	__龊
碎	粉__, 破__, __石, 打__
向	方__, 走__, 倾__, __前
众	群__, 观__, __多, __人
莘	____学子
嗅	__觉, __到
果	如__, 结__, 效__, 成__
挟	__带, __持, 裹__
红	__军, __色, 忆__, __林
娥	卷叶__, 是__, __姐
室	办公__, __内, 居__, 卧__
钦	__佩, __止, 应__, __洲街
倩	茹__, __儿, __玉, 从__儿
熨	电__斗, __斗
贫	__困, __困县, 清__, 扶__
努	__力, 日__, __嘴, ____嘴
中	__国, 其__, __央, 之__
萱	__佑
新	__闻, 重__, __华社, __鲜
舵	把__, 掌__
蹈	舞__, 循规__矩, 手舞足__, 舞__家
锻	__炼, __件
匿	销声__迹, 隐__, __名, 波斯__
汁	柠檬__, 乳__, 墨__, 糖__
淀	__粉, 沉__, 积__, 海__
赊	__欠
评	__价, 批__, __论, __定
蝇	苍__, 牛__, 蚊__, __头小利
蛾	卷叶__, __子, 夜__
懈	坚持不__, 不__, __怠, 松__
嵋	峨__山
潦	浮皮__草, __倒, __草
忌	无__, 切__, __讳, 禁__
魏	__晋, 北__
风	__格, 作__, __光, __险
盒	__子, 烟__, 饭__, 磁带__
叔	__同, 大__, 亨__, __父
衙	__门, 有司__门
敛	收__, __财, 横征暴__
柜	__台, 书__, 保险__, __子
损	__失, __害, __耗, 亏__
胞	细__, 同__, 淋巴细__, 侨__
屡	__见不鲜, __次, __禁不止, __试不爽
绢	手__
洧	曲__
瓦	千__, __解, __罐, __窑堡
赫	__然, 法__米, __拉维, 哥德巴__
度	制__, 程__, 态__, 速__
蹭	磨__, 磨磨____
廓	轮__, __清
森	__林, __平, 学__, 咪__
葱	__花, 郁郁____, 大__, __花饼
曲	__线, 扭__, __折, 弯__
援	__助, 支__, 救__, 声__
彷	__徨
项	__目, 各__, 这__, 义__
啻	不__
白	明__, __色, 蛋__质, __素
卿	瑞__, 国务__, 汉__, 曙__
一	__个, __些, 第__, __定
撇	左__子, __嘴, __开, __下
莉	媞__亚, 爱__考, 茉__花, 晓__
戈	__尔巴乔夫, __里奥, 倒__, 反__一击
麋	__鹿
脊	__梁, __背, 世界屋__, 屋__
瞑	死不__目, __目
阐	__述, __明, __发, __释
冕	冠__
途	__径, 前__, __中, 用__
褚	__石
搜	__集, __查, __寻, __索
悟	__空, 觉__, __亮, 领__
羡	__慕, 令人__慕
窣	窸__
索	探__, 线__, 思__, __姗
妥	__善, __协, 稳__, 不__
堤	大__, 圩__, __坝, __坡
璧	玉__, 珠联__合, 合__, 完__归赵
玩	开__笑, __意, __笑, __具
刨	__刀
享	__受, __有, 共__, 分__
吆	__喝
谬	荒__, __论, __误
梯	楼__, __队, __云纵, __子
悉	熟__, __心, __达多, 据__
芳	俊__, __香, 慧__, 兰__
御	抵__, 防__, __寒, 抗__
容	内__, __易, 整__, 笑__
示	表__, 显__, 指__, 揭__
吼	__叫, 狮子__, 怒__
猾	狡__
迁	变__, 搬__, __移, 拆__
赂	贿__
觅	__食, 寻__, 寻寻____, 寻死__活
濡	相__以沫, 耳__目染
杆	大肠__菌, __菌, 栏__, __子
揉	__合, ____眼, __搓
扈	飞扬跋__
腊	__狗, 希__, 希__语, __味
巍	__峨, __然, 颤颤____, ____然
限	__制, 有__, 无__, 有__公司
燕	朝__, __华, __京, __子
诙	__谐
橘	__子, 柑__
蛛	蜘__, __丝马迹, __网
楚	清__, __女, 清清____, 一清二__
惟	__一, __妙__肖, __恐, __有
捞	打__, __钱, 捕__, __一把
忡	忧心____, 怔__
竣	__工, 告__
姥	铁杖____, __爷
哧	噗__, 扑__
坦	巴勒斯__, 爱因斯__, __率, __然
叩	__头, __击, __开, __见
武	__汉, __器, 君__, __装
柱	支__, 国__, __奉, 石__
晰	清__, 明__, 清__可见, 清__度
拳	__头, 太极__, __法, __击
敲	__门, __打, 推__, __响
懵	__懂, ____懂懂
对	__于, __象, __方, 绝__
饺	__子
嗽	咳__
呼	__吸, __唤, 招__, 称__
企	__业, __业家, __图, 乡镇__业
涂	糊__, __抹, 一塌糊__, 糊里糊__
椅	__子, 轮__, 木__, 桌__
袄	棉__, 皮__, 中__
按	__照, __劳分配, __压, __时
膊	胳__, 胳__肘
妾	__婢
隐	__蔽, __藏, __瞒, __私
焕	__发, 容光__发, __然一新, 精神__发
辖	直__市, 管__, __区, 下__
蒜	__薹, __瓣, 大__, __泥
凄	__厉, __凉, __楚, 冷____
纠	__正, __纷, __缠, __葛
娣	招__
颤	__抖, __动, __栗, __音
吧	酒__, __哒, 得了__
驰	奔__, __骋, 飞__, 风__电掣
猩	大____, __红, __红色
动	活__, 运__, 劳__, 行__
丫	__头, __角, __髻, __鬟
购	__买, 收__, 选__, 认__
议	会__, 建__, __论, 协__
朱	__砂, __红, __熹, __莉
戳	__穿, 邮__
肴	佳__, 菜__
诈	__骗, 奸__, 尔虞我__, 欺__
骸	残__, 遗__, __骨
阻	__碍, __止, __力, __挡
禺	番__
什	__么, 为__么, 干__么, __么样
摇	__头, 动__, __晃, __篮
蟆	癞蛤__, 蛤__
草	__案, __地, __原, __坪
懊	__丧, __恼, __悔
杉	云__, 洛__矶
鳌	独占__头
坑	____洼洼, __道, __农, __洼
盐	食__, 硅酸__, __水, __津
嗒	叭__, 嘀__, 嘀嘀____
蹩	__脚
汗	__水, 冷__, 大__淋漓, __珠
敝	凋__
霉	倒__, 发__, 青__素, __变
黠	狡__, __戛斯国
巢	卵__, __芜, 老__, 雀__咖啡
饥	__饿, 充__, 如__似渴, __寒
壤	土__, 接__, 天__之别, 僻__
俐	伶__, 伶牙__齿, 巩__曾, 聪明伶__
琦	嘉__, __哥
杈	枝__, 树__
硼	__酸
侈	奢__
艳	鲜__, 红__, 浓__, __丽
胴	__体
筹	统__, __措, __划, __集
登	__记, __上, __山, 攀__
哼	____卿卿, ____唧唧
避	__免, 不可__免, __开, 回__
躁	烦__, 急__, __动, 暴__
茁	__壮
癞	__蛤蟆, 小__子, __子
截	__然不同, 半__, __然, 堵__
梅	__雨, __桃, 晓__, 小__
文	__化, __学, __件, __章
昆	__都, __明, __虫, 尚__
抉	__择
纭	众说纷__, 纷__, 聚讼纷__
律	法__, 规__, 纪__, 定__
鲍	__格胥, __勃
福	幸__, 成__, 太__, __利
税	个人所得__, __收, 调节__, 利__
炕	__沿, __头, 土__, __洞
世	__界, __纪, __遗, __雄
舞	__台, 鼓__, 跳__, 飞__
咱	__们
宣	__传, __布, __告, __扬
惚	恍__, 恍恍__
颥	颞__
喧	__嚣, __闹, __哗, __宾夺主
瘦	__小, __削, 消__, __弱
助	帮__, __学金, 协__, 资__
汝	查__强, __珍, __阳
辫	小__子, __子, 小__, 发__
贬	__值, __低, 褒__, 褒__不一
蚱	蚂__
伉	__俪
嘲	__笑, __讽, __弄, 自__
鸶	鹭__
瞻	高__远瞩, 山遥__, __仰, __前顾后
咽	__喉, 哽__, 呜__, 吞__
猴	__子, __王, 猿__, 申__
仁	连__, 明__, 虾__, 介__布
颓	__废, __丧, __然, ____拱
求	要__, 追__, 需__, 寻__
装	服__, __饰, __置, 武__
襄	__阳, __樊, __河, __田南路
鼬	__鼠
拉	伊__克, 安哥__, 阿__伯, 安__
绘	描__, __画, __制, 测__
聊	__天, 无__, 闲__, 民不__生
鳍	尾__, 背__
灭	消__, 毁__, __亡, __绝
岱	湘__
监	__督, __测, 太__, __护人
坐	__下, 乘__, __标, __落
兔	__子, 卯__, 长毛__, __毛
湖	__南, 江__, __北, __南省
遥	__远, 逍__, __望, __控
蓝	__色, __宝石, __图, __天
拷	__绸, __花, __贝
狩	__猎
讴	__歌
迫	__切, 压__, __使, 强__
杰	__出, __作, 文__, 豪__
妒	嫉__, 天__红颜
腴	丰__
巷	大街小__, 小__, __道, 街__
并	__且, __非, 合__, __未
竹	__君, __帘, __青, __林
顺	__利, __姐, __着, __序
哽	__咽
啼	__哭, __笑皆非, 哭哭____
凿	确__, 开__
岔	__子, __开, 山__村
丁	拉__, 如__, 冷不__, 家__
沂	__蒙, __州, __水, __蒙山
栅	铁__栏, __栏, 大__栏, 木__
榄	橄__枝, 橄__油, 橄__绿
孔	面__, __雀, 多__, 老__
授	教__, __予, __权, 传__
弋	游__
夏	__天, __季, 宁__, 春__
阑	__珊
咒	诅__, __骂, __语, 念__
熔	__炉, __点, __铸
洗	清__, __涤, 冲__, __衣机
望	希__, 愿__, 渴__, 失__
萝	__卜, 胡__卜素, 红__卜, 胡__卜
斜	倾__, 歪__, __坡, __拉桥
感	__到, __觉, __情, __受
鸡	__蛋, 母__, __头, 斗__
鬣	__狗
唧	哼哼____, __哝
利	__用, 专__, __益, 有__于
厨	__房, __师, __子
漫	__长, 弥__, 浪__, __步
邪	无__, 异端__说, __恶, 天真无__
谭	天方夜__, 小__
悚	毛骨__然, __然
碜	寒__
蒲	__冈道, 唐菖__, __扇, __河
怵	发__, __目惊心
庶	富__
宸	__濠
疼	心__, __痛, __爱, 头__
儿	__子, 女__, 一会__, __童
蹁	__子
激	应__, __动, 刺__, __烈
衅	挑__
规	__定, __划, __律, __模
馁	气__
扉	心__, __页
惊	__人, __讶, 大吃一__, __奇
籍	书__, 党__, 古__, 典__
奏	节__, __效, 演__, __响
卓	__越, __著, __有成效, 东__宿
哒	吧__, 叭__
偕	白头__老, __同
诏	下__
他	__们, 其__, __人, __俩
橙	__色, __子, __红色, 甜__
诘	盘__, __难
棚	窝__, 工__, 牛__, __子
佻	轻__
苞	__米
蜗	__牛, __居
忠	__义, __诚, 玉__, __实
季	__节, 夏__, 冬__, 秋__
惺	__松
逑	君子好__
啧	____声, ____称赞
剩	__下, 过__, __余, __饭
叨	唠__, 念__, 絮絮____, __咕
悴	憔__
虱	__子, 木__
弩	匣__
致	一__, 导__, 以__, 大__
延	__安, __长, 外__, __伸
穹	苍__
寸	英__, __步难行, 尺__, 方__
磺	硫__
命	革__, 生__, __令, __运
睐	青__
勾	__结, __画, __引, __当
退	__休, 减__, __出, 后__
璃	琉__, 玻__, 窗玻__, 玻__窗
涪	__陵
瞅	__见
骇	惊__, __然, 惊世__俗, 惊涛__浪
肋	__骨
弊	__端, 利__, __病, 作__
舌	七嘴八__, __头, 张口结__, 咋__
炬	火__
沓	杂__, 纷至__来
且	而__, 并__, 况__, __不说
疙	__瘩, 鸡皮__瘩, ____瘩瘩
宝	__石, __贵, 红__石, __剑
娜	绮瑞__, 维__斯, 婀婀____, 安__西斯桥
废	__物, __除, __墟, __气
怠	__慢, 倦__, 懈__, __工
涩	苦__, 羞__, __味, 艰__
谨	__慎, 严__, __小慎微, 拘__
炫	__耀, __目
伪	真__, __钞, __劣, 虚__
爬	__山, 摸__滚打, __山越岭, __行
键	关__, __盘, 关__性, 按__
堰	西__村, 都江__
岳	__母, __父, __州, 三山五__
方	__面, 地__, __法, __式
机	__构, 计算__, __关, __会
讽	嘲__, 讥__, __刺, 冷嘲热__
亿	__万, 八__, 十一__, 两__
派	民主党__, __出, 一__, 右__
铃	棉__虫, 哑__, 红__虫, __声
附	__近, __图, __加, __属
屈	委__, __服, 不__, __从
惋	__惜
揍	挨__
秣	厉兵__马
觑	面面相__
桐	泡__, 梧__村, __乡, 梧__树
乔	戈尔巴__夫, __其纱, __姆斯基, __子
狗	腊__, __日的, __熊, __崽子
兖	__州
员	人__, 委__会, 成__, 委__
坚	__持, __决, __定, __实
寝	__室, 就__
统	系__, __一, 传__, __计
换	交__, 转__, 变__, 更__
查	调__, 检__, 审__, 侦__
晤	会__, 得__, __面
烫	滚__, __伤, __发, __金
班	上__, 下__, __子, 培训__
盯	__住
念	观__, 概__, 意__, 信__
年	青__, __代, 去__, 今__
苷	糖__
摸	抚__, __索, 触__, __底
诽	__谤
仡	__佬族, __佬
仿	__佛, 模__, __效, 效__
莺	夜__
鲸	__鱼
邀	__请, 应__, 特__, __功
球	地__, 击__, 全__, 发__
厂	__长, 工__, __家, __里
罹	__患, __难者
的	有__, 目__, __话, 似__
娇	撒__, __小, __弱, __嫩
馆	图书__, 旅__, 宾__, __长
徊	徘__
昏	黄__, __暗, __迷, __睡
佬	剃头__, 乡巴__, 仡__族, 仡__
谓	所__, 可__, 无所__, 称__
臂	手__, 双__, 前__, 右__
五	八__, __明, 第__, __十
列	系__, 下__, 以色__, __入
错	__误, 不__, 位__, __过
窜	流__, 逃__, 流__犯
鸟	__儿, 鳄__, 爱__, __笼
肠	大__杆菌, 衷__, 小__, 心__
探	__索, 勘__, __讨, 试__
蚤	水__, 跳__
啰	__嗦
贩	小__, 商__, __卖, __子
篆	__刻
垄	__断, 三__沙
疮	冻__, 千__百孔, 满目__痍, 痔__
失	__去, 消__, 损__, __败
碰	__到, __撞, __上, __见
户	用__, 客__, 窗__, 个体__
改	__革, __变, __善, __造
蒸	__发器, __馏, __笼, __发
螺	__旋, __丝, __丝刀, __帽
趾	__高气扬, 脚__, 脚__头, __头
允	__许, 应__, __洋, __洲
参	__加, __与, __考, __观
雄	英__, 世__, __厚, __伟
姆	保__, 萨达__, 乔__斯基, 克里__林宫
配	分__, __合, 支__, 按劳分__
恋	__爱, __人, 初__, 热__
捍	__卫
拌	搅__, __匀, __和
虏	俘__
旎	旖__, 风光旖__
毒	消__, 病__, 中__, 有__
何	如__, 任__, 为__, __时
仔	__细, 牛__裤, 牛__, ____细细
奸	强__, 汉__, __人, __淫
留	__下, __学, 保__, __学生
垭	毛__
孝	__高, __敬, __子, __顺
州	广__, 杭__, 贵__, 神__
惠	优__, 实__, 山口百__, 互__
董	古__, __事, __事会, __事长
王	老__, __庭, __子, __朝
来	起__, 出__, 下__, 后__
蛤	癞__蟆, __蟆
触	接__, __及, __动, __电
浩	桑__, 志__, ____荡荡, __瀚
注	__意, 关__, __册, __视
火	__车, __车站, 停__, 灯__
迪	海__, 马__懦, 启__, 阿瓦__
独	__立, 单__, 孤__, __自
癯	清__
问	__题, 访__, __道, 询__
饱	吃__蹲, 温__, __和, __满
声	__音, __明, 大__, 掌__
米	厘__, 平方__, 立方__, 大__
酉	__水, __阳县, __鸡
维	__护, __生素, 思__, __持
吨	万__级, __位, 总__位
蕹	__菜
湿	__润, 潮__, __度, __漉漉
侗	__族
嚅	嗫__
霄	在__, 云__, 凌__树, 罗__
宇	心__, __宙, 庙__, 楼__
堆	坟__, __放, 土__, 孤__村
粉	淀__, __末, 面__, 洗衣__
憋	__气, __闷
鏖	__战
芍	__药
萎	__缩, 枯__, __蔫, __靡不振
褐	__色, __煤, 黄__斑, 深__色
井	__冈山, 矿__, __水, 天__
演	__出, 表__, 表__者, __变
咙	喉__
甘	__肃, __心, __油, 心__情愿
窝	被__, 一__蜂, __囊, __棚
龟	乌__, __儿子, __卜, __甲
股	__票, __东, __市, __份
愠	__怒, __色
舢	__板
质	__量, 素__, 物__, 性__
个	一__, 这__, __人, 整__
劭	__君, __纲
猬	刺__
吮	吸__, __吸
碱	__性, 水__, 酸__度, 皂__
孜	甘__, 柯尔克__
娲	女__, 女__氏
纵	操__, __横, __向, __深
缴	__纳, 上__, __获, 收__
获	__得, __取, 收__, __利
耶	摩__, 亚纳__夫, 哲合忍__, __稣
攸	性命__
榻	下__, ____米, 病__
俞	小__
便	__是, 方__, 以__, 随__
嘴	__唇, __里, __巴, __边
郁	__文, 忧__, 浓__, 抑__
兀	__自, __鹰, 突__
剂	催化__, 洗涤__, 调__, __量
雅	__尔塔, 高__, 优__, 典__
篇	长__小说, __章, 诗__, 长__
渍	水__, 汗__, 油__, 油____
懋	宗__
鹊	喜__, 杜__, __桥, __桥相会
拍	__摄, 球__, __卖, __手
柏	__林, 松__, 如__, 都__林
羌	__族, __笛
仕	__途
受	__到, 接__, 感__, 享__
簸	颠__, __箕, __箩
啥	__子
傻	__瓜, __乎乎, __子, __事
属	__于, 金__, __性, 所__
胡	__子, __同, __说, __乱
缺	__乏, __少, __点, __陷
诧	__异, 惊__
桦	__林, 白__
狭	__义, __窄, __小, __隘
饰	装__, 掩__, 服__, 首__
巳	__虫, __时, __末, __蛇
绵	缠__, 丝__, 连__, 海__
恶	__化, __心, __劣, 厌__
智	__力, __慧, __能, 理__
歼	__灭, __敌, 围__, __击
汾	__阳, __洪江, __酒
送	__到, __给, __来, 护__
冀	__东, 希__, __求, __鲁豫
锃	__亮
阅	__读, __历, 翻__, 查__
瞄	__准
领	__导, __域, __导人, 占__
尉	上__, 中__, __官, 都__
床	临__, 起__, __单, 车__
舍	宿__, __不得, 取__, 校__
掌	__握, __声, 手__, 巴__
树	植__, __立, 植__造林, __林
丕	__显
北	__京, 东__, __约, __方
翅	__膀, 鳞__目, 展__, 插__难逃
宜	不__, 便__, 适__, 事__
弟	兄__, __子, 子__, __兄
鹄	__鸣山
怡	__鸥, 心旷神__, __和, __寿内丹功
抢	__救, __劫, __占, __购
春	青__, __节, __天, __秋
苇	芦__, __子
欧	__洲, __阳, __共体, 东__
梦	__见, __丽, 做__, __想
谩	__骂
涨	上__, __落, 高__, __价
溪	本__, __口, __水, 石__
眯	屎____, __缝
钮	__扣, 按__, 电__, 旋__
摈	__除
讼	诉__, 行政诉__法, 诉__法, 聚__纷纭
沾	____自喜, __光, __满
遁	逃__
净	干__, 洁__, 纯__, __化
狂	__热, 疯__, __风, __人
际	国__, 实__, 实__上, 之__
魇	梦__
屉	抽__
词	__汇, 名__, 主题__, __库
腋	__下, __窝
廊	走__, 河西走__, 游__, 长__
才	__能, 人__, 刚__, __华
菌	细__, 大肠杆__, 杆__, 噬__体
杏	红__, 凤__, __仁露, __目
擎	引__
桑	霍__, __浩, 甲木森__布, __植
槐	__树, 刺__, 国__, __叶
浓	__厚, __度, __郁, ____的
亢	__进, __奋, 高__, __桑子
返	__回, 重__, 往__, __乡
南	__非, 云__, __方, 湖__
鲟	__鱼
瑙	多__河
赎	__回, __罪, __买, __金
鳞	鱼__, __翅目, __次栉比, 一__半爪
凑	__合, __巧, 拼__, 紧__
散	分__, 耗__, __步, __发
拢	收__, 聚__, 靠__, 合不__嘴
歧	分__, __视, __义, 种族__视
跨	__过, __入, __国, __越
八	__五, __卦教, 第__, __卦
仪	秋__, __器, __式, 礼__
召	__开, 仑__, 号__, __集
坯	板__
哮	咆__, __喘
称	__为, 名__, __之为, __作
屿	岛__
荷	__花, 超负__, 薄__, 负__
胶	乳__, __布, __卷, __纸
摹	临__, __仿, __写
使	__用, 即__, 促__, __得
泾	北新__镇, 长__, __水河, __渭
刀	刨__, 剪__, 镰__, __口
鄂	__温克, __伦春, __伦春人, 湘__川
各	__种, __级, __地, __个
颇	__为, 偏__, 景__族, 面__
笆	篱__
龉	龃__
师	老__, 教__, __傅, __父
芋	__薯类, 山__, 洋__, 青__
奖	__励, __金, __牌, __品
而	__且, 然__, __是, 因__
椒	辣__, 花__, 胡__粉, 胡__面
涕	鼻__, 感激__零, 破__为笑
气	__氛, __功, 空__, 勇__
化	变__, 文__, 现代__, 深__
嘘	吹__, 唏__, __寒问暖
媛	淑__
甚	__至, __么, 更有__者, __或
粟	海__, 沧海一__, __米
锄	__草
峙	对__
斥	排__, 训__, __责, 申__
萤	__光, __火虫
梧	魁__, __桐村, __桐树, 凤__
薰	相__
辩	__解, __证, __论, __护
劫	抢__, 洗__, __难, 打__
贪	__污, __婪, __图, __污犯
咯	叭__, __吱__吱, __血
圮	倾__
箱	冰__, 电冰__, __子, __内
棱	__角, __镜, ____草, 瓦__纸
纳	__入, 归__, __税, 容__
尴	__尬
茶	__叶, 喝__, __几, 几__酚胺
格	价__, 严__, 性__, 风__
沿	__着, __海, 前__, __途
漾	荡__, __荡
苑	鹿野__, 文__, 艺__
病	__人, 疾__, __情, 毛__
苋	__菜, 马齿__
窒	__息, 性__息
职	__工, __业, __能, __务
李	老__, 行__, 小__, __家坞
译	翻__, 机器翻__, 音__, __著
仓	__库, 九龙__, __促, __皇
蠡	__县
卖	买__, __出, 拍__, 出__
阎	__罗王, __罗, __王, __罗殿
画	__面, __像, 书__, 图__
糟	乱七八__, __糕, __粕, 乱____
握	掌__, 把__, __手, __住
骑	__兵, __马, __车, 坐__
慢	缓__, 傲__, 减__, 怠__
日	__本, __子, __常, __益
警	__察, 民__, 刑__, 干__
俩	他__, 哥__, 伎__, 哥儿__
浪	__费, __潮, __漫, 风__
凭	__着, 文__, 任__, __证
篱	__笆, 藩__, 东__, 寄人__下
藩	国__, 道__, __篱
绳	__子, __索, 跳__, 准__
饲	__料, __养, __料厂
猿	心__意马, __猴
捶	__打, __背, __胸顿足
蟹	螃__, __壳青, __壳黄
槽	__子
轾	轩__
犀	__利, 心有灵__
锅	大__饭, __炉, 铝__, __底
咄	____逼人
缉	侦__, __毒, 通__, __拿
脍	__炙人口
肌	__肉, 心__, __肤, __体
搏	拼__, __斗, 脉__, 拚__
檐	屋__
专	__业, __利, __门, __家
滂	__沱
沔	__水镇, __水
逗	__留, 挑__, __乐, __嘴
眙	盱__
隘	狭__, 关__, __口
疚	歉__, 内__, 愧__
颜	__色, 五__六色, __料, 容__
簟	__食瓢饮
羞	__涩, 害__, 恼__成怒, __愧
挡	__住, 阻__, 抵__, 遮__
撤	__军, __出, __离, __销
漩	__涡
亨	__叔, 伯__, 比力__, 大__
别	特__, __人, 分__, __的
哆	__嗦, ____嗦嗦, 打__嗦
催	__化, __化剂, __促, __肥
启	__示, __发, __文, __超
垮	压__, __台, 打__, 拖__
鸳	__鸯
趟	__水
耷	__拉
跋	__涉, 拓__焘, __堤, __山涉水
踞	盘__
椽	__子
测	监__, __试, __量, 预__
达	__到, 表__, 到__, 发__
十	__分, 几__, __几, 二__
憨	__厚, __态可掬
畅	舒__, __通, __快, __销
哄	起__, 一__而上, 一__而起, 乱____
密	秘__, __切, 紧__, 严__
终	__于, 始__, 最__, __点
手	__段, __中, __里, 双__
饶	__恕, 求__, __有兴趣, 不依不__
背	__景, __后, 违__, __上
翌	__日, __年
蕃	__薯
乓	乒__球, 乒__球队, 乒__, 乒__球赛
角	__度, __色, __落, 三__形
遗	世__, __憾, __传, __产
取	__得, 采__, __消, 争__
静	平__, 冷__, 宁__, __态
盘	键__, 磁__, __旋, 地__
祝	__贺, 庆__, __愿, __福
轶	__事, __闻
锤	__子
荡	动__, 扫__, __漾, 空____
洼	低__, 坑坑____, __地, 老__窝
桧	__柏
详	__细, 端__, 安__, __尽
佩	__服, 钦__, __戴, 布达__斯
滨	哈尔__, 海__, 横__, 湖__
跪	__下, 下__, __坐, __拜
六	第__, __十, 十__, 第十__
烬	灰__
矮	__小, 低__, __个子, 高__
筱	__楼
平	水__, __衡, 和__, 小__
揶	__揄
旺	兴__, __盛, 春__, 脉__
犁	伊__
匀	均__, __称, __速, 拌__
垃	__圾, __圾车, __圾箱, __圾场
适	__应, __当, __合, 合__
彗	__星
妇	__女, 媳__, 夫__, __联
弈	对__
尊	__重, __严, __敬, 自__
悍	精__, 强__, 凶__, 剽__
明	__显, __确, __白, 说__
输	__入, 运__, __出, __送
薯	芋__类, 甘__, 番__, 马铃__
冗	__余度, __长
姘	__头, __妇
隙	空__, 缝__, 间__
宛	__如, 南__, __若
额	名__, 总__, 数__, 超__
夜	__里, 深__, 昨__, 日__
芡	挂__
挠	不屈不__, 阻__, __头, __度
枣	__红, __树, 海__
聩	振聋发__
亩	每__, __产, __产量, 田__
玫	__瑰, __瑰色, __瑰花
谪	__官
炭	煤__, 木__, 薪__林, 涂__
疯	__狂, 发__, __狗, __病
阮	__亭
叭	喇__, 哑__, __嗒, __蜡庙
荟	__萃
舶	__来, 船__
携	__带, __手
祈	__求, __祷, __年殿, __望
举	__行, __办, 选__, __起
象	现__, 对__, 印__, 形__
埃	__及, 尘__, __文斯, __林拜德
