#
# Heading: Character clozes from the Lancaster Corpus of Mandarin Chinese
# Source: ../data/simplified/Freq_per_Million.U8
#
# For each character, print the top 4 cloze deletions in order of decreasing frequency
#
#term	cloze
怀	__疑, __里, __孕, 关__
贴	体__, 补__, 粘__, 紧__
冷	__静, __水, __笑, __却
制	__度, 控__, __定, 体__
眸	__子, 凝__, 双__, 回__
礼	__物, 婚__, __仪, __貌
鸾	__俦, __凤, __凤和鸣
荀	__哥
羊	山__, __油, __群, __肉
擅	__自, __长
舷	船__, __窗
友	朋__, __好, __谊, 男朋__
汊	__港, 港__, 芦__
煌	辉__, 灯火辉__, 金碧辉__
噎	__住, 抽__
子	孩__, 妻__, 儿__, 日__
糕	蛋__, 糟__, 冰__, 年__
Ｘ	__他妈, __光, __光机
曙	__光, __卿
毛	眉__, 羽__, __病, __衣
玻	__璃, 窗__璃, __璃窗, __璃瓶
跟	__着, __前, __随, __踪
乞	__丐, __讨, __望, __求
狡	__猾, __黠, __辩, __诈
占	__有, __领, __用, __地
缕	金__曲, 千丝万__
弓	__形, __箭, 左右开__, 张__
哥	安__拉, 大__, 芝加__, 墨西__
啤	__酒, __酒瓶
秧	育__, 扭__歌, 插__, __歌队
绩	成__, 业__, 政__, 功__
胭	__脂, __脂乡
氓	流__, 一__, 耍流__
普	__通, __遍, __克, __及
桩	一____, 木__
泵	光__
浴	__室, __缸, 沐__, __血奋战
盹	打__
鼾	__声
寻	__找, __求, __常, 探__
饼	__干, 烧__, 烙__, 月__
掀	__起, __开, __翻, __动
蜃	海市__楼
搅	打__, __拌, __和, __混
薄	__弱, ____的, __板, 单__
三	第__, __十, 十__, 老__
辈	一__子, 晚__, 长__, 老一__
倍	加__, __增, 安__, __数
册	注__, 注__名, 史__, 小__子
唏	__嘘, __哩哗啦, ____嗦嗦
嚎	__叫, __啕, 哀__, __啕大哭
娑	婆__
鼓	__励, __舞, __掌, 欢欣__舞
抖	颤__, __动, 精神__擞, 发__
榜	__样, 标__, 好__样, __上无名
负	__责, __担, __责人, 担__
圣	神__, __人, __地, __经
琥	__珀
疤	二__, 刀__, 伤__, __痕
大	__家, __学, __量, 广__
窦	情__初开, 情__, 疑__, __成
徨	彷__
茫	__然, 白____, 渺__, 苍__
粪	__便, __桶, __土, 人__尿
憬	憧__
支	__持, __配, 开__, __撑
暮	__色, __霭, 晨钟__鼓, __年
樱	__内, __桃, __花
记	__者, 书__, __录, 登__
踟	__蹰
状	__态, __况, 现__, 形__
钺	仙__
扁	__舟, __平, __担, __豆
俦	鸾__
权	__利, 版__, 左__, 政__
殿	大__, __堂, 宫__, 大雄宝__
悠	__久, __闲, 转__, __然
义	社会主__, 意__, __务, 定__
迈	__出, __进, 豪__, __向
瓶	花__, __子, 热水__, 玻璃__
遍	普__, 普__性, __地, __及
里	这__, 心__, 家__, 那__
畏	不__, 无__, 敬__, __难
盎	__然, 生机__然
穑	__稼
寐	夜不能__, 梦__以求
当	__时, __然, 应__, 相__
飒	英姿__爽
展	发__, 开__, 进__, __开
钏	宝__
拖	__拉机, __鞋, __延, __把
鸦	__片, 乌__, __雀无声, 涂__
湎	沉__
滞	磁__, __销, 停__, 呆__
牡	__丹, __牛, __丹花
珠	珍__, 云__, 泪__, __江
督	监__, 基__教, __促, 基__徒
嗤	__之以鼻, 噗__
髦	时__
荫	浓__, 林__, 柳__, 树__
峪	卧虎__, 罗__口
恭	____敬敬, __敬, __维, 毕__毕敬
岁	__月, 周__, __数, 太__
蛮	野__, __不讲理, __干, 胡搅__缠
保	__护, __持, __证, __障
佳	最__, 多__, __人, __肴
聒	__噪
具	__有, __体, 工__, 家__
哺	__育, __乳期, __乳动物, __乳室
顽	__强, __固, __皮, __石
搀	__扶
肃	严__, 甘__, __穆, __反
蜂	一窝__, 九尾金__, __皇浆, __拥而至
莅	__临
躇	踌__, 踌__满志
嘀	__咕, __嗒, ____嗒嗒, ____咕咕
栈	客__, 堆__
咋	__舌
鞍	__钢, __山, __子, 马__山
瘌	__痢山
芬	贝多__, __芳, 司__克斯, 惠__
绉	双__, 文____
墓	公__, 坟__, __地, __碑
箕	簸__
暗	黑__, __器, __中, 灰__
耘	耕__
沛	充__, 阿__, 丰__, 精力充__
挚	真__, __爱, __友, __诚
依	__靠, __据, __法, __然
东	__西, 泽__, __北, 山__
酮	__苯
疡	溃__, 胃溃__, 溃__病
鞠	__躬
那	__么, __些, __样, __个
判	谈__, __断, 批__, 审__
级	各__, 高__, 县__, 年__
妩	__媚
缆	电__, __绳
芯	铁__, 灯__绒, 圆珠笔__, __片
煜	__人
铁	__路, __芯, __杖姥姥, 钢__
梳	__理, 木__, __头, __妆
盔	丢__弃甲, 头__
段	阶__, 手__, 小__, 片__
嚷	叫__, 喧__, 喧喧____, 嘟__
抒	__写, __发, __怀, __情
逸	安__, 一劳永__, 石__, 飘__
区	地__, 自治__, __别, __域
徽	国__, 安__, 安__省, 校__
帼	巾__, 巾__英雄
窿	窟__
社	__会, __会主义, 新华__, 爱__
旁	__边, 一__, 身__, 两__
匮	__乏
胃	__酸, __口, 肠__, __病
杂	复__, __志, __乱无章, __念
刷	印__, 洗__, __子, 印__厂
滇	__西, __中
浆	血__, 砂__, 蜂皇__, __糊
觉	__得, 感__, 自__, 睡__
案	方__, 作__, __件, 图__
陌	__生, __生人
煎	__熬, 干__虾, 熬__
归	__来, __纳, __结, 回__
铆	__接
敖	__包, __特恒贺希格
聘	招__, __任, __请, __为
泛	广__, __滥, __起, __指
罢	__了, 也__, __工, __休
违	__法, __反, __背, __犯
乜	__斜
楞	啪__, 品布拉布__, 大__, __严经
嗡	大轰大__
面	方__, __前, 全__, 上__
句	__子, __法, __式, 换__话说
继	__续, __承, 相__, __而
丐	乞__, __帮
秩	__序, __序井然
孪	__生, __生子
虬	__龙, 枝__
拯	__救
腮	__帮子, 络__胡子
深	__圳, __入, __化, __刻
汰	淘__, 优胜劣__
裳	衣__, 小衣__
轲	荆__
诵	背__, __经, 吟__, 念__
雷	__超, __电, __声, __达
镶	__嵌, __边
凹	平__, __陷, __凸
灸	针__
峻	严__, 冷__, 险__, __岭
忽	__然, __视, __略, __地
幼	__稚, __儿园, __儿, __虫
竿	竹__, 钓__, 立__见影
叵	__奈, 居心__测
考	__虑, __试, 思__, 参__
螂	螳__
茅	__草, __屋, __山, __盾
抄	__本, __录, __袭, __送
万	千__, __年, 一__, __物
殊	特__, 悬__, 特__性, __不知
霍	__桑, 挥__, __地, 斯廷__
拂	飘__, 吹__
岐	行__, 瑞__
徒	信__, 教__, 歹__, 叛__
噩	__耗, 浑浑____, __梦
馄	__饨
肘	捉襟见__, __部, 胳膊__
氛	气__, __围
溜	__达, 一__烟, 光____, __号
樟	__树
绑	捆__, __架
拱	__手, __卫, 石__桥, __形
瀣	沆__一气
垢	水__, 污__, 油__, 蓬头__面
猥	刺__, __亵, __琐
天	今__, 每__, 那__, __空
墨	__西哥, __尔本, __鱼, 笔__
宪	__法, __兵, __章, __庭
札	__依兹, __幌, __萨克
音	声__, __节, __乐, 小__
贱	__人, 卑__, 微__, __卖
碟	__子
珊	__瑚, 阑__, 乃__, 应__
炸	爆__, __弹, 轰__机, 轰__
聋	耳__, 振__发聩, __哑人, 震耳欲__
稿	__件, 投__, 文__, __费
蕴	__藏, __含, __涵, 底__
恃	自__, 有__无恐, __强凌弱
淆	混__, 混__不清, 混__是非
驶	行__, 驾__, 驾__员, __去
坍	__塌
轩	问__, 清__, __敞, __昂
野	在__党, __生, 原__, 田__
唢	__呐
孕	怀__, __育, __妇, __激素
晏	__福生, 河清海__
尧	世__, 日__, 祖__, 阿__
惘	迷__, 怅__, __然若失
汛	防__, 大__, 潮__
佝	__偻
啡	咖__, 咖__色, 雀巢咖__
铠	廷__
遣	派__, __返, 排__, 消__
矢	有的放__, __口否认, 众__之的, __口
镌	__刻
勤	辛__, __工俭学, __奋, 后__
左	__右, __手, __权, __侧
磨	__牙, 折__, 琢__, __损
葫	__芦, 冰糖__芦
杭	__州, __州市, 余__
良	__好, 不__, 学__, __性
泰	__勒, __愚, 中__, __国
陷	__入, 缺__, __于, 凹__
兹	乃__府, 卡码__, 斐__杰惹, __韦尼哥罗镇
罕	__见, 穆__默德, 稀__, __有
类	人__, 各__, __型, 之__
虾	__仁, 鱼__, 龙__, 干煎__
综	__合, __合治理, __合性, __合国力
驿	__卒, __站, __道
滔	____不绝, __天罪行
攀	__登, __上, __谈, __附
昂	__贵, __首阔步, 激__, 轩__
茄	番__, __子, 皮__克, __克热
谆	____告诫
樊	__笼, 襄__
隍	城__庙
岑	小__, __参
妓	__女, __院
窕	窈__
笔	__者, __划, 这__, 眉__
林	森__, 造__, 植树造__, 穆斯__
擘	巨__
脘	中__
涛	波__, __声, 林__, 惊__骇浪
戚	亲__, 外__, 休__与共, 凄__
唠	__叨
瘢	__痕
墩	桥__, 土__, __实, __布
筝	风__
