original_word	pinyin	english	freq_per_mil	count_in_corpus
确实	què shí	indeed/really/reliable/real/true	120.0	6
未来	wèi lái	future/tomorrow/CL:個|个[ge4]/approaching/coming/pending	118.0	6
修	Xiū; xiū	surname Xiu; to decorate/to embellish/to repair/to build/to study/to write/to cultivate	113.0	6
即使	jí shǐ	even if/even though	112.0	6
行动	xíng dòng	operation/action/to move/mobile/CL:個|个[ge4]	108.0	6
紧张	jǐn zhāng	nervous/keyed up/intense/tense/strained/in short supply/scarce/CL:陣|阵[zhen4]	106.0	6
以来	yǐ lái	since (a previous event)	99.0	6
做出	zuò chū	to put out/to issue	68.0	6
注	zhù	to inject/to pour into/to concentrate/to pay attention/stake (gambling)/classifier for sums of money; to register/to annotate/note/comment	65.0	6
年轻人	nián qīng rén	young people/youngster	65.0	6
持续	chí xù	to continue/to persist/sustainable/preservation	55.0	6
持	chí	to hold/to grasp/to support/to maintain/to persevere/to manage/to run (i.e. administer)/to control	54.0	6
编	biān	to weave/to plait/to organize/to group/to arrange/to edit/to compile/to write/to compose/to fabricate	52.0	6
委员会	wěi yuán huì	committee	34.0	6
暴	Bào; bào	surname Bao; sudden/violent/cruel/to show or expose/to injure	23.0	6
粤语	Yuè yǔ	Cantonese language	9.9	6
社交	shè jiāo	interaction/social contact	8.4	6
禁令	jìn lìng	prohibition/ban	4.0	6
主要	zhǔ yào	main/principal/major/primary	322.0	5
外	wài	outside/in addition/foreign/external	317.0	5
城市	chéng shì	city/town/CL:座[zuo4]	299.0	5
历史	lì shǐ	history/CL:門|门[men2],段[duan4]	261.0	5
国际	guó jì	international	241.0	5
无法	wú fǎ	unable/incapable	241.0	5
新闻	xīn wén	news/CL:條|条[tiao2],個|个[ge4]	239.0	5
进入	jìn rù	to enter/to join/to go into	228.0	5
份	fèn	classifier for gifts, newspaper, magazine, papers, reports, contracts etc/variant of 分[fen4], part/share/ingredient/component	221.0	5
数	shǔ; shù; shuò	to count/to enumerate/to criticize (i.e. enumerate shortcomings); number/figure/several/CL:個|个[ge4]; frequently/repeatedly	197.0	5
肯定	kěn dìng	to be sure/to be certain/sure/certain/definite/to confirm/to affirm/affirmative/to approve/approval/recognition	188.0	5
不断	bù duàn	unceasing/uninterrupted/continuous/constant	173.0	5
计划	jì huà	plan/project/program/to plan/to map out/CL:個|个[ge4],項|项[xiang4]	164.0	5
越来越	yuè lái yuè	more and more	162.0	5
基本	jī běn	basic/fundamental/main/elementary	160.0	5
媒体	méi tǐ	media, esp. news media	148.0	5
林	Lín; lín	surname Lin; woods/forest/CL:片[pian4]/circle(s) (i.e. specific group of people)/a collection (of similar things)	140.0	5
事件	shì jiàn	event/happening/incident/CL:個|个[ge4]	127.0	5
控制	kòng zhì	control/to exercise control over/to contain	119.0	5
欢迎	huān yíng	to welcome/welcome	116.0	5
申请	shēn qǐng	to apply for sth/application (form etc)/CL:份[fen4]	112.0	5
附近	fù jìn	(in the) vicinity/nearby/neighboring/next to	110.0	5
感受	gǎn shòu	to sense/perception/to feel (through the senses)/a feeling/an impression/an experience	107.0	5
中共	Zhōng Gòng	abbr. for 中國共產黨|中国共产党[Zhong1 guo2 Gong4 chan3 dang3], Chinese Communist Party	102.0	5
采取	cǎi qǔ	to adopt or carry out (measures, policies, course of action)/to take	79.0	5
邮件	yóu jiàn	mail/post	60.0	5
措施	cuò shī	measure/step/CL:個|个[ge4]	60.0	5
发送	fā sòng	to transmit/to dispatch	42.0	5
受伤	shòu shāng	to sustain injuries/wounded (in an accident etc)/harmed	36.0	5
紧急	jǐn jí	urgent/emergency	30.0	5
法院	fǎ yuàn	court of law/court	29.0	5
绝望	jué wàng	to despair/to give up all hope/desperate/desperation	28.0	5
引发	yǐn fā	to lead to/to trigger/to initiate/to cause/to evoke (emotions)	26.0	5
呼吁	hū yù	to call on (sb to do sth)/to appeal (to)/an appeal	26.0	5
此处	cǐ chù	this place/here (literary)	22.0	5
谈论	tán lùn	to discuss/to talk about	22.0	5
当局	dāng jú	authorities	19.0	5
订阅	dìng yuè	subscription/to subscribe to	18.0	5
子弹	zǐ dàn	bullet/CL:粒[li4],顆|颗[ke1],發|发[fa1]	17.0	5
发射	fā shè	to shoot (a projectile)/to fire (a rocket)/to launch/to emit (a particle)/to discharge/emanation/emission	15.0	5
周日	zhōu rì	Sunday/diurnal	14.0	5
郑	Zhèng	Zheng state during the Warring States period/surname Zheng/abbr. for 鄭州|郑州[Zheng4 zhou1], Zhengzhou prefecture level city and capital of Henan Province in central China	13.0	5
锋	fēng	point of a spear/edge of a tool/vanguard/forward (in sports team)	11.0	5
汽油	qì yóu	gasoline	11.0	5
橡皮	xiàng pí	rubber/an eraser/CL:塊|块[kuai4]	6.7	5
加剧	jiā jù	to intensify/to sharpen/to accelerate/to aggravate/to exacerbate/to embitter	6.6	5
简报	jiǎn bào	presentation	4.1	5
发声	fā shēng	vocal/sound/sound production/to utter/to give voice	3.9	5
立法会	lì fǎ huì	legislative council/LegCo (Hong Kong)	1.7	5
路障	lù zhàng	a road-block/a barricade	1.6	5
点击	diǎn jī	to hit/to press/to strike (on the keyboard)/to click (a web page button)	0	5
另一	lìng yī	another/the other	0	5
一种	yī zhǒng	one kind of/one type of	0	5
不同	bù tóng	different/distinct/not the same/not alike	342.0	4
出现	chū xiàn	to appear/to arise/to emerge/to show up	339.0	4
重要	zhòng yào	important/significant/major	338.0	4
通过	tōng guò	by means of/through/via/to pass through/to get through/to adopt/to pass (a bill or inspection etc)/to switch over	337.0	4
准备	zhǔn bèi	preparation/to prepare/to intend/to be about to/reserve (fund)	291.0	4
难	nán; nàn	difficult (to...)/problem/difficulty/difficult/not good; disaster/distress/to scold	277.0	4
玩	wán	toy/sth used for amusement/curio or antique (Taiwan pr. [wan4])/to play/to have fun/to trifle with/to keep sth for entertainment	266.0	4
影响	yǐng xiǎng	an influence/an effect/to influence/to affect (usually adversely)/to disturb/CL:股[gu3]	253.0	4
应	Yìng; yīng; yìng	surname Ying; to agree (to do sth)/should/ought to; to answer/to respond/to comply with/to deal or cope with	241.0	4
自	zì	from/self/oneself/since	239.0	4
只能	zhǐ néng	can only/obliged to do sth/to have no other choice	226.0	4
能力	néng lì	capability/capable/able/ability/CL:個|个[ge4]	223.0	4
相信	xiāng xìn	to be convinced (that sth is true)/to believe/to accept sth as true	222.0	4
座	zuò	seat/base/stand/CL:個|个[ge4]/classifier for buildings, mountains and similar immovable objects	208.0	4
地区	dì qū	local/regional/district (not necessarily formal administrative unit)/region/area/as suffix to city name, means prefecture or county (area administered by a prefecture level city or county level city)/CL:個|个[ge4]	192.0	4
听到	tīng dào	to hear	185.0	4
帮助	bāng zhù	assistance/aid/to help/to assist	175.0	4
区	Ōu; qū	surname Ou; area/region/district/small/distinguish/CL:個|个[ge4]	174.0	4
怎样	zěn yàng	how/why	169.0	4
产生	chǎn shēng	to arise/to come into being/to come about/to give rise to/to bring into being/to bring about/to produce/to engender/to generate/to appear/appearance/emergence/generation/production/yield	146.0	4
教授	jiào shòu	professor/to instruct/to lecture on/CL:個|个[ge4],位[wei4]	146.0	4
深	shēn	close/deep/late/profound/dark (of color, water etc)	142.0	4
反	fǎn	contrary/in reverse/inside-out or upside-down/to reverse/to return/to oppose/opposite/against/anti-/to rebel/to use analogy/instead/abbr. for 反切 phonetic system	124.0	4
举行	jǔ xíng	to hold (a meeting, ceremony etc)	106.0	4
交通	jiāo tōng	to be connected/traffic/transportation/communications/liaison	105.0	4
且	qiě	and/moreover/yet/for the time being/to be about to/both (... and...)	103.0	4
失去	shī qù	to lose	102.0	4
仅	jǐn	barely/only/merely	100.0	4
采访	cǎi fǎng	to interview/to gather news/to hunt for and collect/to cover	100.0	4
压力	yā lì	pressure	90.0	4
圈	juān; juàn; quān	to confine/to lock up/to pen in; pen (pig)/a fold; circle/ring/loop/classifier for loops, orbits, laps of race etc/CL:個|个[ge4]/to surround/to circle	84.0	4
独立	dú lì	independent/independence/to stand alone	81.0	4
校	jiào; xiào	to proofread/to check/to compare; school/military officer/CL:所[suo3]	74.0	4
实施	shí shī	to implement/to carry out	69.0	4
身份	shēn fèn	identity/status/capacity/dignity/position/rank	68.0	4
校长	xiào zhǎng	(college, university) president/headmaster/CL:個|个[ge4],位[wei4],名[ming2]	68.0	4
权利	quán lì	power/right/privilege	66.0	4
队	duì	squadron/team/group/CL:個|个[ge4]	65.0	4
某些	mǒu xiē	some/certain (things)	57.0	4
看法	kàn fǎ	way of looking at a thing/view/opinion/CL:個|个[ge4]	55.0	4
而言	ér yán	with regard to (preceding phrase)	54.0	4
律师	lu:4 shī	lawyer	50.0	4
用来	yòng lái	to be used for	48.0	4
这边	zhè biān	this side/here	42.0	4
遭到	zāo dào	to suffer/to meet with (sth unfortunate)	38.0	4
防	fáng	to protect/to defend/to guard against/to prevent	37.0	4
