original_word	pinyin	english	freq_per_mil	count_in_corpus
本月	běn yuè	this month/the current month	10.0	2
战役	zhàn yì	military campaign	9.9	2
国旗	guó qí	flag (of a country)/CL:面[mian4]	9.9	2
逃离	táo lí	to run out/to escape	9.9	2
液体	yè tǐ	liquid	9.2	2
耗	hào	to waste/to spend/to consume/to squander/news/(coll.) to delay/to dilly-dally	9.0	2
底层	dǐ céng	ground or first floor/bottom (of a pile)/lowest rung (of society)	8.9	2
指控	zhǐ kòng	accusation/a (criminal) charge/to accuse	8.9	2
抗争	kàng zhēng	to resist/to make a stand and fight (against)	8.5	2
动用	dòng yòng	to utilize/to put sth to use	8.5	2
暂停	zàn tíng	to suspend/time-out (e.g. in sports)/stoppage/pause (media player)	8.5	2
游泳池	yóu yǒng chí	swimming pool/CL:場|场[chang3]	8.5	2
民意	mín yì	public opinion/popular will/public will	8.2	2
反击	fǎn jī	to strike back/to beat back/to counterattack	8.2	2
搜查	sōu chá	to search	7.9	2
创始人	chuàng shǐ rén	creator/founder/initiator	7.7	2
浸	jìn	to immerse/to soak/to steep/gradually	7.6	2
强硬	qiáng yìng	tough/unyielding/hard-line	7.4	2
校外	xiào wài	off campus	7.1	2
撤离	chè lí	to withdraw from/to evacuate	6.6	2
激进	jī jìn	radical/extreme/extremist	6.6	2
上个月	shàng gè yuè	last month	6.5	2
议题	yì tí	topic of discussion/topic/subject/issue (under discussion)/CL:項|项[xiang4]	6.4	2
宣	Xuān; xuān	surname Xuan; to declare (publicly)/to announce	6.3	2
本地人	běn dì rén	native person (of a country)	5.9	2
聪	cōng	quick at hearing/wise/clever/sharp-witted/intelligent/acute	5.5	2
法案	fǎ àn	bill/proposed law	5.5	2
乌克兰	Wū kè lán	Ukraine	5.4	2
冲向	chōng xiàng	to charge into	5.2	2
扭转	niǔ zhuǎn	to reverse/to turn around (an undesirable situation)	4.9	2
殖民	zhí mín	colony/colonial	4.9	2
动乱	dòng luàn	turmoil/upheaval/unrest	4.9	2
缺失	quē shī	deficiency/shortcoming/hiatus	4.6	2
参与者	cān yù zhě	participant	4.6	2
疏散	shū sàn	to scatter/to disperse/to evacuate/scattered/to relax	4.5	2
裁决	cái jué	ruling/adjudication	4.3	2
全国人大常委会	Quán guó Rén Dà Cháng Wěi huì	Standing Committee of the National People's Congress (abbr. of 全國人民代表大會常務委員會|全国人民代表大会常务委员会)	3.9	2
自助餐	zì zhù cān	buffet/self-service meal	3.9	2
辱骂	rǔ mà	to insult/to revile/abuse/vituperation	3.7	2
九龙	Jiǔ lóng	Kowloon district of Hong Kong	3.6	2
迷你	mí nǐ	mini (as in mini-skirt or Mini Cooper)	3.2	2
宽慰	kuān wèi	to console/to sooth/relieved	2.9	2
危及	wēi jí	to endanger/to jeopardize/a danger (to life, national security etc)	2.8	2
对内	duì nèi	internal/national/domestic (policy)	2.7	2
特首	tè shǒu	chief executive of Special Administrative Region (Hong Kong or Macao)/abbr. for 特別行政區首席執行官|特别行政区首席执行官	2.7	2
滕	Téng	vassal state of Zhou in Shandong/Teng county in Shandong/surname Teng	2.7	2
并入	bìng rù	to merge into/to incorporate in	2.7	2
喷射	pēn shè	to spurt/to spray/to jet/spurt/spray/jet	2.6	2
施压	shī yā	to pressure	2.4	2
别有用心	bié yǒu yòng xīn	to have an ulterior motive (idiom); a hidden agenda	2.1	2
停课	tíng kè	to stop classes/to close (of school)	2.0	2
投掷	tóu zhì	to throw sth a long distance/to hurl/to throw at/to throw (dice etc)/to flip (a coin)	2.0	2
变法	biàn fǎ	political reform	1.9	2
射箭	shè jiàn	archery/to shoot an arrow	1.8	2
射中	shè zhòng	to shoot at a target	1.6	2
香港大学	Xiāng gǎng Dà xué	The University of Hong Kong	1.4	2
浚	jùn	to deepen (e.g. a ditch)/to extract/to manage/ladle (old)	1.3	2
砖块	zhuān kuài	brick	1.2	2
先入为主	xiān rù wéi zhǔ	lit. first impression is strongest	1.1	2
管治	guǎn zhì	governance/to govern	0.87	2
当权	dāng quán	to hold power	0.87	2
中的	zhòng dì	to hit the target/to hit the nail on the head	0	2
一系列	yī xì liè	a series of/a string of	0	2
坠楼	zhuì lóu	to fall off or jump off a building	0	2
室友	shì yǒu	roommate	0	2
日至	rì zhì	solstice/the winter solstice 冬至 and summer solstice 夏至	0	2
受访	shòu fǎng	to give an interview/to be interviewed/to respond to (questions, a survey etc)	0	2
人身安全	rén shēn ān quán	personal safety	0	2
下一步	xià yī bù	the next step	0	2
看看	kàn kan	to take a look at/to examine/to survey/(coll.) pretty soon	0	2
公共交通	gōng gòng jiāo tōng	public transport/mass transit	0	2
成了	chéng le	to be done/to be ready/that's enough!/that will do!	0	2
谭嗣同	Tán Sì tóng	Tan Sitong (1865-1898), Qing writer and politician, one of the Six Gentlemen Martyrs 戊戌六君子 of the unsuccessful reform movement of 1898	0	2
什么的	shén me de	and so on/and what not	0	2
反华	fǎn Huá	anti-Chinese	0	2
一下	yī xià	(used after a verb) give it a go/to do (sth for a bit to give it a try)/one time/once/in a while/all of a sudden/all at once	0	2
很多时	hěn duō shí	often	0	2
不该	bù gāi	should not/to owe nothing	0	2
不可能	bù kě néng	impossible/cannot/not able	0	2
下任	xià rèn	next office holder/next to serve	0	2
习近平	Xí Jìn píng	Xi Jinping (1953-), PRC politician, PRC vice-chair from 2008	0	2
早些	zǎo xiē	a bit earlier	0	2
催泪弹	cuī lèi dàn	tear bomb/tear-gas grenade	0	2
禁制令	jìn zhì lìng	prohibition/ban/law forbidding sth	0	2
第二天	dì èr tiān	next day/the morrow	0	2
行政长官	xíng zhèng zhǎng guān	chief executive/magistrate	0	2
不确定	bù què dìng	uncertain/uncertainty	0	2
不清楚	bù qīng chu	unclear/not understood/currently unknown	0	2
数月	shù yuè	several months	0	2
在此	zài cǐ	hereto/here	0	2
区议会	qū yì huì	district council	0	2
变得	biàn de	to become	0	2
对美	duì Měi	(policy etc) towards America	0	2
首次	shǒu cì	first/first time/for the first time	0	2
帕斯	Pà sī	Perth, capital of Western Australia	0	2
估值	gū zhí	valuation/estimation	0	2
巨石阵	jù shí zhèn	giant stone arrangement/Stonehenge	0	2
全	Quán; quán	surname Quan; all/whole/entire/every/complete	343.0	1
发	fā; fà	to send out/to show (one's feeling)/to issue/to develop/classifier for gunshots (rounds); hair/Taiwan pr. [fa3]	333.0	1
晚上	wǎn shang	evening/night/CL:個|个[ge4]/in the evening	332.0	1
回来	huí lai	to return/to come back	324.0	1
经济	jīng jì	economy/economic	321.0	1
研究	yán jiū	research/a study/CL:項|项[xiang4]	320.0	1
由于	yóu yú	due to/as a result of/thanks to/owing to/since/because	315.0	1
小时	xiǎo shí	hour/CL:個|个[ge4]	304.0	1
别人	bié ren	other people/others/other person	303.0	1
第	dì	(prefix indicating ordinal number, e.g. first, number two etc)	297.0	1
发表	fā biǎo	to issue/to publish	295.0	1
总	zǒng	always/to assemble/gather/total/overall/head/chief/general/in every case	290.0	1
米	Mǐ; mǐ	surname Mi; rice/CL:粒[li4]/meter (classifier)	278.0	1
选择	xuǎn zé	to select/to pick/choice/option/alternative	278.0	1
谈	Tán; tán	surname Tan; to speak/to talk/to converse/to chat/to discuss	270.0	1
参加	cān jiā	to participate/to take part/to join	265.0	1
少	shǎo; shào	few/to lack/to be missing/to stop (doing sth)/seldom; young	263.0	1
里面	lǐ miàn	inside/interior	259.0	1
过来	guò lái	to come over/to manage/to handle/to be able to take care of	258.0	1
技术	jì shù	technology/technique/skill/CL:門|门[men2],種|种[zhong3],項|项[xiang4]	258.0	1
服务	fú wù	to serve/service/CL:項|项[xiang4]	252.0	1
也许	yě xǔ	perhaps/maybe	252.0	1
总是	zǒng shì	always	250.0	1
红	Hóng; hóng	surname Hong; red/popular/revolutionary/bonus	243.0	1
找到	zhǎo dào	to find	236.0	1
她们	tā men	they/them (for females)	231.0	1
眼	yǎn	eye/small hole/crux (of a matter)/CL:隻|只[zhi1],雙|双[shuang1]/classifier for big hollow things (wells, stoves, pots etc)	231.0	1
部	bù	ministry/department/section/part/division/troops/board/classifier for works of literature, films, machines etc	231.0	1
哪	nǎ; na; něi	how/which; (particle equivalent to 啊 after noun ending in -n); which? (interrogative, followed by classifier or numeral-classifier)	230.0	1
精神	jīng shén; jīng shen	spirit/mind/consciousness/thought/mental/psychological/essence/gist/CL:個|个[ge4]; vigor/vitality/drive/spiritual	224.0	1
音乐	yīn yuè	music/CL:張|张[zhang1],曲[qu3],段[duan4]	223.0	1
注意	zhù yì	to take note of/to pay attention to	222.0	1
卖	mài	to sell/to betray/to spare no effort/to show off or flaunt	218.0	1
回到	huí dào	to return to	215.0	1
说话	shuō huà	to speak/to say/to talk/to gossip/to tell stories/talk/word	214.0	1
按	àn	to press/to push/to leave aside or shelve/to control/to restrain/to keep one's hand on/to check or refer to/according to/in the light of/(of an editor or author) to make a comment	210.0	1
跑	páo; pǎo	(of an animal) to paw (the ground); to run/to run away/to escape/to run around (on errands etc)/(of a gas or liquid) to leak or evaporate/(verb complement) away/off	209.0	1
极	jí	extremely/pole (geography, physics)/utmost/top	209.0	1
即	jí	namely/that is/i.e./prompt/at once/at present/even if/prompted (by the occasion)/to approach/to come into contact/to assume (office)/to draw near	209.0	1
黑	Hēi; hēi	abbr. for Heilongjiang province 黑龍江|黑龙江[Hei1 long2 jiang1], Heilongjiang province (Heilungkiang) in northeast China, abbr. 黑, capital Harbin 哈尔滨/Heilongjiang river forming the border between northeast China and Russia/Amur river; black/dark/sinister/secret/shady/illegal/(loanword) to hack (computing)	208.0	1
近	jìn	near/close to/approximately	207.0	1
自然	zì rán	nature/natural/naturally	205.0	1
搞	gǎo	to do/to make/to go in for/to set up/to get hold of/to take care of	204.0	1
身体	shēn tǐ	(human) body/health/CL:個|个[ge4]	203.0	1
整个	zhěng gè	whole/entire/total	202.0	1
环境	huán jìng	environment/circumstances/surroundings/CL:個|个[ge4]/ambient	202.0	1
山	Shān; shān	surname Shan; mountain/hill/anything that resembles a mountain/CL:座[zuo4]/bundled straw in which silkworms spin cocoons/gable	202.0	1
八	bā	eight/8	201.0	1
较	jiào	comparatively/(preposition comparing difference in degree)/to contrast/to compare/rather/fairly/clearly (different)/markedly/to haggle over/to quibble/also pr. [jiao3]	199.0	1
下午	xià wǔ	afternoon/CL:個|个[ge4]/p.m.	196.0	1
人家	rén jiā; rén jia	household/dwelling/family/sb else's house/household business/house of woman's husband-to-be/CL:戶|户[hu4],家[jia1]; other people/sb else/he, she or they/I, me (referring to oneself as "one" or "people")	194.0	1
系统	xì tǒng	system/CL:個|个[ge4]	194.0	1
另外	lìng wài	additional/in addition/besides/separate/other/moreover/furthermore	193.0	1
容易	róng yì	easy/likely/liable (to)	193.0	1
好像	hǎo xiàng	as if/to seem like	193.0	1
网络	Wǎng luò; wǎng luò	Internet; network (computing, telecommunications, transport etc)	192.0	1
解决	jiě jué	to settle (a dispute)/to resolve/to solve/to dispose of/to dispatch	192.0	1
来到	lái dào	to come/to arrive	192.0	1
白	Bái; bái	surname Bai; white/snowy/pure/bright/empty/blank/plain/clear/to make clear/in vain/gratuitous/free of charge/reactionary/anti-communist/funeral/to stare coldly/to write wrong character/to state/to explain/vernacular/spoken lines in opera	191.0	1
最好	zuì hǎo	best/(you) had better (do what we suggest)	190.0	1
非	Fēi; fēi	abbr. for 非洲[Fei1 zhou1], Africa; to not be/not/wrong/incorrect/non-/un-/in-/to reproach or blame/(colloquial) to insist on/simply must	186.0	1
下去	xià qù	to go down/to descend/to go on/to continue/(of a servant) to withdraw	185.0	1
国内	guó nèi	domestic/internal (to a country)/civil	184.0	1
靠	kào	to lean against or on/to stand by the side of/to come near to/to depend on/to trust/to fuck (vulgar)/traditional military costume drama where the performers wear armor (old)	182.0	1
样子	yàng zi	appearance/manner/pattern/model	181.0	1
代表	dài biǎo	representative/delegate/CL:位[wei4],個|个[ge4],名[ming2]/to represent/to stand for/on behalf of/in the name of	178.0	1
而是	ér shì	rather	178.0	1
套	tào	cover/sheath/to encase/a case/to overlap/to interleave/bend (of a river or mountain range, in place names)/harness/classifier for sets, collections/tau (Greek letter Ττ)	176.0	1
动	dòng	to use/to act/to move/to change/abbr. for 動詞|动词[dong4 ci2], verb	176.0	1
教	Jiào; jiāo; jiào	surname Jiao; to teach; religion/teaching/to make/to cause/to tell	175.0	1
东	Dōng; dōng	surname Dong; east/host (i.e. sitting on east side of guest)/landlord	173.0	1
知识	zhī shi	intellectual/knowledge-related/knowledge/CL:門|门[men2]	173.0	1
哭	kū	to cry/to weep	172.0	1
低	dī	low/beneath/to lower (one's head)/to let droop/to hang down/to incline	172.0	1
王	Wáng; wáng; wàng	surname Wang; king or monarch/best or strongest of its type/grand/great; to rule/to reign over	172.0	1
努力	nǔ lì	great effort/to strive/to try hard	168.0	1
离	lí; Lí	mythical beast (archaic); surname Li; to leave/to part from/to be away from/(in giving distances) from/without (sth)/independent of/one of the Eight Trigrams 八卦[ba1 gua4], symbolizing fire/☲	165.0	1
这时	zhè shí	at this time/at this moment	165.0	1
若	ruò	to seem/like/as/if	165.0	1
重	chóng; zhòng	to repeat/repetition/again/re-/classifier: layer; heavy/serious/to attach importance to	165.0	1
层	céng	layer/stratum/laminated/floor (of a building)/storey/classifier for layers/repeated/sheaf (math.)	165.0	1
据	jū; jù	see 拮據|拮据[jie2 ju1], hard pressed for money/in financial straits; according to/to act in accordance with/to depend on/to seize/to occupy	164.0	1
房间	fáng jiān	room/CL:間|间[jian1]	163.0	1
游戏	yóu xì	game/CL:場|场[chang3]/to play	162.0	1
吃饭	chī fàn	to eat a meal	158.0	1
英国	Yīng guó	United Kingdom 聯合王國|联合王国[Lian2 he2 wang2 guo2]/United Kingdom of Great Britain and Northern Ireland/abbr. for England 英格蘭|英格兰[Ying1 ge2 lan2], England	158.0	1
结束	jié shù	termination/to finish/to end/to conclude/to close	157.0	1
日子	rì zi	day/a (calendar) date/days of one's life	156.0	1
资料	zī liào	material/resources/data/information/profile (Internet)/CL:份[fen4],個|个[ge4]	156.0	1
城	chéng	city walls/city/town/CL:座[zuo4],道[dao4],個|个[ge4]	156.0	1
入	rù	to enter/to go into/to join/to become a member of/to confirm or agree with/abbr. for 入聲|入声[ru4 sheng1], entering tone/checked tone/one of the four tones of Middle Chinese	156.0	1
艺术	yì shù	art	155.0	1
项目	xiàng mù	item/project/sports event/CL:個|个[ge4]	154.0	1
条件	tiáo jiàn	condition/circumstances/term/factor/requirement/prerequisite/qualification/CL:個|个[ge4]	153.0	1
水平	shuǐ píng	level (of achievement etc)/standard/horizontal	152.0	1
建设	jiàn shè	to build/to construct/construction/constructive	152.0	1
获得	huò dé	to obtain/to receive/to get	151.0	1
看来	kàn lai	apparently/it seems that	150.0	1
菜	cài	dish (type of food)/vegetables/vegetable/cuisine/CL:盤|盘[pan2],道[dao4]	150.0	1
然而	rán ér	however/yet/but	150.0	1
提	tí	to carry (hanging down from the hand)/to lift/to put forward/to mention/to raise (an issue)/upwards character stroke/lifting brush stroke (in painting)/scoop for measuring liquid	149.0	1
医生	yī shēng	doctor/CL:個|个[ge4],位[wei4],名[ming2]	148.0	1
引用	yǐn yòng	to quote/to cite/to recommend/to appoint	148.0	1
面前	miàn qián	in front of/facing/presence	145.0	1
上面	shàng mian	on top of/above-mentioned	145.0	1
线	xiàn	thread/string/wire/line/CL:條|条[tiao2],股[gu3],根[gen1]	145.0	1
想起	xiǎng qǐ	to recall/to think of/to call to mind	144.0	1
部门	bù mén	department/branch/section/division/CL:個|个[ge4]	144.0	1
德国	Dé guó	Germany/German	144.0	1
说明	shuō míng	to explain/to illustrate/to indicate/to show/to prove/explanation/directions/caption/CL:個|个[ge4]	143.0	1
广告	guǎng gào	to advertise/a commercial/advertisement/CL:項|项[xiang4]	143.0	1
年轻	nián qīng	young	142.0	1
要是	yào shi	if	141.0	1
美元	Měi yuán	American dollar/US dollar	141.0	1
既	jì	already/since/both... (and...)	140.0	1
情	qíng	feeling/emotion/passion/situation	140.0	1
有时	yǒu shí	sometimes/now and then	138.0	1
心情	xīn qíng	mood/frame of mind/CL:個|个[ge4]	137.0	1
传统	chuán tǒng	tradition/traditional/convention/conventional/CL:個|个[ge4]	137.0	1
嘛	ma	modal particle indicating that sth is obvious/particle indicating a pause for emphasis	137.0	1
后面	hòu mian	rear/back/behind/later/afterwards	136.0	1
带来	dài lái	to bring/to bring about/to produce	135.0	1
合作	hé zuò	to cooperate/to collaborate/to work together/cooperation/CL:個|个[ge4]	135.0	1
报告	bào gào	to inform/to report/to make known/speech/talk/lecture/CL:篇[pian1],份[fen4],個|个[ge4],通[tong4]	134.0	1
变化	biàn huà	change/variation/to change/to vary/CL:個|个[ge4]	134.0	1
见到	jiàn dào	to see	134.0	1
语	yǔ; yù	dialect/language/speech; to tell to	134.0	1
老板	Lǎo bǎn; lǎo bǎn	Robam (brand); boss/business proprietor/CL:個|个[ge4]	134.0	1
饭	fàn	food/cuisine/cooked rice/meal/CL:碗[wan3],頓|顿[dun4]	134.0	1
投资	tóu zī	investment/to invest	132.0	1
之一	zhī yī	one of (sth)/one out of a multitude/one (third, quarter, percent etc)	132.0	1
房	Fáng; fáng	surname Fang; house/room/CL:間|间[jian1]	130.0	1
市	shì	market/city/CL:個|个[ge4]	130.0	1
尤其	yóu qí	especially/particularly	129.0	1
北	běi	north/to be defeated (classical)	129.0	1
某	mǒu	some/a certain/sb or sth indefinite/such-and-such	129.0	1
满	Mǎn; mǎn	Manchu ethnic group; to fill/full/filled/packed/fully/completely/quite/to reach the limit/to satisfy/satisfied/contented	129.0	1
常	Cháng; cháng	surname Chang; always/ever/often/frequently/common/general/constant	128.0	1
差	chā; chà; chāi; cī	difference/discrepancy/to differ/error/to err/to make a mistake; to differ from/to fall short of/lacking/wrong/inferior; to send/to commission/messenger/mission; uneven	128.0	1
周	Zhōu; zhōu	surname Zhou/Zhou Dynasty (1046-256 BC); to make a circuit/to circle/circle/circumference/lap/cycle/complete/all/all over/thorough/to help financially; week/weekly	127.0	1
慢慢	màn màn	slowly	127.0	1
改革	gǎi gé	reform/CL:次[ci4],種|种[zhong3],項|项[xiang4]/to reform	127.0	1
错	Cuò; cuò	surname Cuo; mistake/wrong/bad/interlocking/complex/to grind/to polish/to alternate/to stagger/to miss/to let slip/to evade/to inlay with gold or silver	126.0	1
免费	miǎn fèi	free (of charge)	126.0	1
生产	shēng chǎn	to produce/to manufacture/to give birth to a child	126.0	1
注册	zhù cè	to register/to enroll	126.0	1
文字	wén zì	character/script/writing/written language/writing style/phraseology/CL:個|个[ge4]	125.0	1
易	Yì; yì	surname Yi; easy/amiable/to change/to exchange	125.0	1
弄	lòng; nòng	lane/alley; to do/to manage/to handle/to play with/to fool with/to mess with/to fix/to toy with	125.0	1
门口	mén kǒu	doorway/gate/CL:個|个[ge4]	124.0	1
心理	xīn lǐ	mental/psychological	124.0	1
造成	zào chéng	to bring about/to create/to cause	124.0	1
坚持	jiān chí	to persevere with/to persist in/to insist on	124.0	1
作用	zuò yòng	to act on/to affect/action/function/activity/impact/result/effect/purpose/intent/to play a role/corresponds to English -ity, -ism, -ization/CL:個|个[ge4]	124.0	1
心中	xīn zhōng	central point/in one's thoughts/in one's heart	123.0	1
每次	měi cì	every time	123.0	1
病	bìng	illness/CL:場|场[chang2]/disease/to fall ill/defect	123.0	1
进去	jìn qù	to go in	122.0	1
不可	bù kě	cannot/should not/must not	122.0	1
直到	zhí dào	until	121.0	1
报道	bào dào	report/CL:篇[pian1],份[fen4]	121.0	1
下载	xià zǎi	to download/also pr. [xia4 zai4]	120.0	1
保持	bǎo chí	to keep/to maintain/to hold/to preserve	118.0	1
更加	gèng jiā	more (than sth else)/even more	118.0	1
严重	yán zhòng	grave/serious/severe/critical	117.0	1
英	Yīng; yīng	United Kingdom/British/England/English/abbr. for 英國|英国[Ying1 guo2], United Kingdom 聯合王國|联合王国[Lian2 he2 wang2 guo2]/United Kingdom of Great Britain and Northern Ireland/abbr. for England 英格蘭|英格兰[Ying1 ge2 lan2], England; brave	116.0	1
重新	chóng xīn	again/once more/re-	116.0	1
路上	lù shang	on the road/on a journey/road surface	115.0	1
编辑	biān jí	to edit/to compile/editor/compiler	114.0	1
停	tíng	to stop/to halt/to park (a car)	114.0	1
选	xuǎn	to choose/to pick/to select/to elect	112.0	1
意见	yì jiàn	idea/opinion/suggestion/objection/complaint/CL:點|点[dian3],條|条[tiao2]	112.0	1
充满	chōng mǎn	full of/brimming with/very full/permeated	110.0	1
蓝	Lán; lán	surname Lan; blue/indigo plant	110.0	1
软件	ruǎn jiàn	(computer) software	110.0	1
知	zhī	to know/to be aware	109.0	1
资源	Zī yuán; zī yuán	Ziyuan county in Guilin 桂林[Gui4 lin2], Guangxi; natural resource (such as water or minerals)/resource (such as manpower or tourism)	109.0	1
负责	fù zé	to be in charge of/to take responsibility for/to be to blame/conscientious	109.0	1
工程	gōng chéng	engineering/an engineering project/project/undertaking/CL:個|个[ge4],項|项[xiang4]	109.0	1
检查	jiǎn chá	inspection/to examine/to inspect/CL:次[ci4]	109.0	1
收入	shōu rù	to take in/income/revenue/CL:筆|笔[bi3],個|个[ge4]	108.0	1
喊	hǎn	to yell/to shout/to call out for (a person)	108.0	1
功能	gōng néng	function/capability	108.0	1
阳光	yáng guāng	sunshine/CL:線|线[xian4]	108.0	1
肉	ròu	meat/flesh/pulp (of a fruit)	108.0	1
价值	jià zhí	value/worth/fig. values (ethical, cultural etc)/CL:個|个[ge4]	107.0	1
银行	yín háng	bank/CL:家[jia1],個|个[ge4]	106.0	1
初	chū	at first/(at the) beginning/first/junior/basic	106.0	1
有限	yǒu xiàn	limited/finite	105.0	1
正常	zhèng cháng	regular/normal/ordinary	104.0	1
普通	pǔ tōng	common/ordinary/general/average	104.0	1
空间	kōng jiān	space/CL:個|个[ge4]	104.0	1
英文	Yīng wén	English (language)	103.0	1
答	dā; dá	to answer/to agree; reply/answer/return/respond/echo	103.0	1
困难	kùn nan	difficult/challenging/straitened circumstances/difficult situation	103.0	1
休息	xiū xi	rest/to rest	103.0	1
实际	shí jì	actual/reality/practice	100.0	1
久	jiǔ	(long) time/(long) duration of time	99.0	1
意	Yì; yì	Italy/Italian/abbr. for 意大利[Yi4 da4 li4], Italy/Italian; idea/meaning/thought/to think/wish/desire/intention/to expect/to anticipate	99.0	1
怎么样	zěn me yàng	how?/how about?/how was it?/how are things?	99.0	1
战争	zhàn zhēng	war/conflict/CL:場|场[chang2],次[ci4]	99.0	1
奇怪	qí guài	strange/odd/to marvel/to be baffled	99.0	1
之中	zhī zhōng	inside	98.0	1
熟悉	shú xī	to be familiar with/to know well	98.0	1
同意	tóng yì	to agree/to consent/to approve	98.0	1
卷	juǎn; juàn	to roll up/roll/classifier for small rolled things (wad of paper money, movie reel etc); scroll/book/volume/chapter/examination paper/classifier for books, paintings: volume, scroll; to roll (up)/to sweep up/to carry on/roll	98.0	1
大量	dà liàng	great amount/large quantity/bulk/numerous/generous/magnanimous	98.0	1
睡觉	shuì jiào	to go to bed/to sleep	98.0	1
代	dài	to substitute/to act on behalf of others/to replace/generation/dynasty/age/period/(historical) era/(geological) eon	97.0	1
直	Zhí; zhí	surname Zhi/Zhi (c. 2000 BC), fifth of the legendary Flame Emperors 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God; straight/to straighten/fair and reasonable/frank/straightforward/(indicates continuing motion or action)/vertical/vertical downward stroke in Chinese characters	96.0	1
翻	fān	to turn over/to flip over/to overturn/to rummage through/to translate/to decode/to double/to climb over or into/to cross	95.0	1
头发	tóu fa	hair (on the head)	95.0	1
尽	jǐn; jìn	to the greatest extent/(when used before a noun of location) furthest or extreme/to be within the limits of/to give priority to; to use up/to exhaust/to end/to finish/to the utmost/exhausted/finished/to the limit (of sth)	93.0	1
事实	shì shí	fact/CL:個|个[ge4]	93.0	1
训练	xùn liàn	to train/to drill/training/CL:個|个[ge4]	93.0	1
培养	péi yǎng	to cultivate/to breed/to foster/to nurture/to educate/to groom (for a position)/education/fostering/culture (biology)	93.0	1
冲	chōng; chòng	(of water) to dash against/to mix with water/to infuse/to rinse/to flush/to develop (a film)/to rise in the air/to clash/to collide with; thoroughfare/to go straight ahead/to rush/to clash; powerful/vigorous/pungent/towards/in view of	93.0	1
毕竟	bì jìng	after all/all in all/when all is said and done/in the final analysis	92.0	1
待	dāi; dài	stay/delay; to wait/to treat/to deal with/to need/going to (do sth)/about to/intending to	91.0	1
周围	zhōu wéi	surroundings/environment/to encompass	91.0	1
骂	mà	to scold/to abuse/CL:通[tong4],頓|顿[dun4]	90.0	1
破	pò	broken/damaged/worn out/to break, split or cleave/to get rid of/to destroy/to break with/to defeat/to capture (a city etc)/to expose the truth of	90.0	1
不如	bù rú	not equal to/not as good as/inferior to/it would be better to	90.0	1
关心	guān xīn	to care for sth/caring/concerned	90.0	1
韩国	Hán guó	South Korea (Republic of Korea)/Han, one of the Seven Hero States of the Warring States 戰國七雄|战国七雄[zhan4 guo2 qi1 xiong2]/Korea from the fall of the Joseon dynasty in 1897	90.0	1
放弃	fàng qì	to renounce/to abandon/to give up	90.0	1
假	jiǎ; jià	fake/false/artificial/to borrow/if/suppose; vacation	90.0	1
销售	xiāo shòu	to sell/to market/sales (representative, agreement etc)	90.0	1
结构	jié gòu	structure/composition/makeup/architecture/CL:座[zuo4],個|个[ge4]	90.0	1
挂	guà	to hang or suspend (from a hook etc)/to hang up (the phone)/to be worried or concerned/to make a phone call (dialect)/to register or record/to hitch/classifier for sets or clusters of objects	89.0	1
最新	zuì xīn	latest/newest	89.0	1
现	xiàn	to appear/present/now/existing/current	89.0	1
奥	Ào; ào	Austria/Austrian/abbr. for 奧地利|奥地利[Ao4 di4 li4], Austria/Olympic/Olympics/abbr. for 奧林匹克|奥林匹克[Ao4 lin2 pi3 ke4], Olympic; obscure/mysterious	89.0	1
没想到	méi xiǎng dào	didn't expect	89.0	1
春	Chūn; chūn	surname Chun; spring (time)/gay/joyful/youthful/love/lust/life	88.0	1
错误	cuò wù	error/mistake/CL:個|个[ge4]/mistaken/false/wrong	88.0	1
阶段	jiē duàn	stage/section/phase/period/CL:個|个[ge4]	88.0	1
音	yīn	sound/noise/note (of musical scale)/tone/news/syllable/reading (phonetic value of a character)	88.0	1
福	Fú; fú	surname Fu/abbr. for Fujian province 福建省[Fu2 jian4 sheng3], Fujian province (Fukien) in east China, abbr. 福 or 閩|闽, capital Fuzhou 福州; good fortune/happiness/luck	88.0	1
小学	xiǎo xué	primary school/CL:個|个[ge4]	87.0	1
大学生	dà xué shēng	university student/college student	87.0	1
家长	jiā zhǎng	head of a household/family head/patriarch/parent or guardian of a child	86.0	1
形象	xíng xiàng	image/form/figure/CL:個|个[ge4]/visualization/vivid	86.0	1
开心	kāi xīn	to feel happy/to rejoice/to have a great time/to make fun of sb	85.0	1
苦	kǔ	bitter/hardship/pain/to suffer/to bring suffering to/painstakingly	85.0	1
群众	qún zhòng	mass/multitude/the masses	84.0	1
不停	bù tíng	incessant	83.0	1
任	Rèn; rèn	surname Ren; to assign/to appoint/to take up a post/office/responsibility/to let/to allow/to give free rein to/no matter (how, what etc)	83.0	1
伊	Yī; yī	surname Yi/abbr. for 伊拉克[Yi1 la1 ke4], Iraq/abbr. for 伊朗[Yi1 lang3], Iran; he/she	83.0	1
西方	Xī fāng	the West/the Occident/Western countries	82.0	1
届	jiè	to arrive at (place or time)/period/to become due/classifier for events, meetings, elections, sporting fixtures, years (of graduation)	82.0	1
掌握	zhǎng wò	to grasp (often fig.)/to control/to seize (initiative, opportunity, destiny)/to master/to know well/to understand sth well and know how to use it/fluency	82.0	1
范围	fàn wéi	range/scope/limit/extent/CL:個|个[ge4]	82.0	1
乐	Lè; Yuè; lè; yuè	surname Le; surname Yue; happy/cheerful/to laugh; music	81.0	1
